location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Bhutan,bhutan,0.094198699,21.188,28.6,8708.597,771612,0.025328403,0.232929374,0.006423485,-1,1.498802507,0.161703032,0.176180256,0.578404561,0.203341705,0.330270784,0.026123777,0.632799386,0.028167123,0.012742919,0.023695264,0.030025492,0.012491588,0.105415351,0.005643426,0.084576303,0.091157343,0.036952717,0.26523123,0.016450055,-1,0.171675661,0.002837626,0.011145784,0.063546472,-1,0.156384038,0.003484608
Malaysia,malaysia,0.094225984,96.254,29.9,26808.164,32365998,0.013986209,0.732012651,0.001777052,0.000123586,1.770018956,0.181877722,0.146165306,0.17826668,0.095231638,0.218169512,0.009025617,0.835956302,0.027207954,0.012006671,0.000322496,0.027043538,0.018620198,0.048791945,0.012831766,0.039583145,0.214622735,0.008922617,0.040330782,0.013602605,0.00027807,0.020769166,0.00044337,0.002029756,0.070470714,-1,0.056932618,0.007012653
Grenada,grenada,0.094759311,317.132,29.4,13593.877,112519,0.007572765,0.740005688,0.034086279,-1,3.649561407,0.449326691,0.449064958,0.269677566,0.165750229,0.367624135,0.003819853,2.026820359,0.077352029,0.025818919,-1,0.064549658,0.052168336,0.05463615,0.014434158,0.006519423,0.103262471,0.01337671,0.087040891,0.035508945,-1,0.014814129,0.004263858,0.037108142,0.054381384,-1,0.84799936,0.005250989
Colombia,colombia,0.094934707,44.223,32.2,13254.949,50882884,0.00975464,0.154286793,0.021911514,0.00165085,1.336863099,0.295779029,0.167081901,0.30075752,0.076375545,0.213172665,0.001268618,0.915354759,0.03562811,0.004257052,0.000736232,0.022641838,0.295842115,0.051816226,0.004660891,0.018584623,0.146167344,0.008395389,0.0965914,0.002362166,0.006878541,0.01695613,0.00034769,0.0226621,0.057294689,-1,0.120959417,0.001800682
Iran,iran,0.095474883,49.831,32.4,19082.62,83992953,0.008765213,0.110901054,0.001835065,0.000464325,1.920755185,0.255205458,0.120994198,0.177967192,0.064290251,0.117951383,0.010298658,0.721494576,0.031810502,0.023103117,0.000119226,0.012426376,0.022824462,0.009426786,0.040351242,0.009573273,0.251494432,0.003548244,0.113735589,0.003363819,0.010059545,0.009734254,0.000907999,0.00240284,0.056807671,0.001119142,0.190888038,0.011690945
Antigua and Barbuda,antigua and barbuda,0.098340796,231.845,32.1,21490.943,97928,0.009691641,0.332324054,0.02279876,-1,1.907291071,0.27490299,0.265382832,0.120330447,0.114060228,0.211012479,0.001956499,1.220682542,0.048477974,0.018322094,-1,0.044910077,0.048542235,0.076678856,0.009318275,0.003756566,0.068277867,0.00653716,0.052151479,0.067121528,0.010211584,0.014329211,0.004693898,0.023470152,0.026815364,-1,0.46444837,0.004555051
Bahamas,bahamas,0.098904868,39.497,34.3,27717.847,393248,0.010406433,0.266806443,0.007593297,-1,2.035780474,0.235160637,0.235799902,0.13230333,0.136599957,0.263496064,0.002529144,1.34768543,0.040750036,0.022702953,-1,0.065664593,0.273267505,0.290482342,0.011362629,0.018826478,0.152794064,0.01246578,0.063559052,0.053128865,-1,0.009682043,0.006018802,0.010528804,0.032707732,-1,0.324380544,0.002884861
Saint Vincent and the Grenadines,saint vincent and the grenadines,0.100173049,281.787,31.8,10727.146,110947,0.014480211,0.408095848,0.053376026,-1,3.1373728,0.311210217,0.329572499,0.194551452,0.15259331,0.335059353,0.00136202,1.744323866,0.056748511,0.020473767,-1,0.067720317,0.213484907,0.181558852,0.012505881,0.023883187,0.104104843,0.013759615,0.129849748,0.089419453,-1,0.034345039,0.010618259,0.062392503,0.082099931,-1,0.85727816,0.002587641
Armenia,armenia,0.100575916,102.931,35.7,8787.58,2963234,0.002908472,0.169026172,0.000428083,-1,4.600092332,0.458028964,0.144982374,0.442296491,0.373686317,0.580397633,0.001954469,1.942342724,0.06073604,0.012448153,-1,0.016183396,0.037709104,0.008007744,0.014171142,0.025851721,0.081622849,0.003082314,0.047566848,0.019624765,-1,0.004458089,0.015437154,0.001191411,0.101808936,-1,0.385396496,0.00704807
Seychelles,seychelles,0.100590475,208.354,36.2,26382.287,98340,0.045291367,0.741000305,0.012019443,-1,2.400051861,0.340301403,0.421872687,0.272654261,0.27961867,0.488188225,0.009670277,1.644583079,0.042586475,0.038972422,-1,0.126227171,0.063943299,0.058883781,0.008789821,0.017480496,0.146200122,0.010040899,0.075865385,0.010001851,-1,0.02400479,0.002058918,0.014870795,0.090454688,-1,0.18346024,0.006417256
Brazil,brazil,0.10196776,25.04,33.5,14103.452,212559409,0.011342118,0.395527822,0.030945156,-1,1.826633325,0.34540447,0.166307011,0.342236932,0.170631543,0.341344052,0.005070333,1.152474507,0.043055619,0.007923902,0.000275094,0.03010348,0.300270359,0.072478184,0.010512788,0.026406632,0.217736257,0.009663007,0.100042619,0.050984617,6.59E-05,0.030873246,0.001406693,0.033860331,0.066546337,-1,0.265683605,0.001820656
Uruguay,uruguay,0.102107454,19.751,35.6,20551.409,3473727,0.004887059,0.424974386,0.023453064,-1,2.853371321,0.680153046,0.226552374,0.594400193,0.142577382,0.418831704,0.002766207,2.75668727,0.097944283,0.024405646,-1,0.026577523,0.060400601,0.05197861,0.011343514,0.016289772,0.175333842,0.003519016,0.047036396,0.034718272,-1,0.042854174,0.003260852,0.038565783,0.194710321,-1,0.229233501,0.006855285
Costa Rica,costa rica,0.102731108,96.079,33.6,15524.995,5094114,0.007710886,0.102288367,0.003298903,-1,1.345100443,0.28617793,0.248356044,0.261321988,0.164974164,0.303454732,0.004638577,1.122281912,0.041408477,0.008267061,-1,0.029879956,0.095042828,0.030077792,0.009662891,0.011344334,0.153573831,0.00388272,0.051036039,0.022411552,0.003729795,0.020280151,0.000747019,0.003691239,0.077628298,-1,0.080114756,0.002777729
Brunei,brunei,0.103000392,81.347,32.4,71809.251,437483,0.006385206,0.208874905,0.000696598,-1,1.157495948,0.117700116,0.160612115,0.222264248,0.056046178,0.122214532,0.011560648,1.102443524,0.023051776,0.013836437,-1,0.042965601,0.014614223,0.010662231,0.006896673,0.040414393,0.154929723,0.007941326,0.048661434,0.003606216,-1,0.005936519,0.001860116,0.002037757,0.062707694,-1,0.383873659,0.004355262
Georgia,georgia,0.105553248,65.032,38.7,9745.079,3989175,0.007754821,0.192184825,0.000923895,-1,7.517674707,0.574382422,0.19671298,0.445270764,0.346220459,0.48591576,0.008448143,1.986786491,0.083138218,0.044682397,-1,0.03400475,0.035508269,0.008620873,0.019117788,0.03999624,0.181518535,0.004793224,0.083252302,0.016824449,-1,0.004751032,0.011978356,0.00292299,0.086537317,-1,0.30320555,0.00880933
Ireland,ireland,0.108480013,69.874,38.7,67335.293,4937796,0.002646618,0.277843192,0.000899387,-1,1.960682256,0.546448658,0.117266347,0.450796064,0.079497877,0.231785396,0.001476271,1.940243785,0.06981386,0.008365546,-1,0.009052685,0.006670446,0.001982101,0.0361617,0.006544043,0.037999889,0.000516623,0.017220877,0.020170916,-1,0.007680321,0.002242027,0.001817144,0.09171594,-1,0.084961671,0.002150607
New Zealand,new zealand,0.108559209,18.206,37.9,36085.843,4822233,0.002941631,0.150954527,0.001455882,-1,2.259932276,0.616904865,0.160215029,0.444457785,0.060581623,0.207342532,0.000672668,2.040146339,0.078163519,0.0046917,-1,0.011113519,0.012365595,0.002069464,0.015488343,0.003730133,0.075072606,0.001326402,0.024998896,0.013615085,-1,0.014669067,0.001663563,0.00208947,0.111378007,-1,0.115213222,0.001879641
Chile,chile,0.108877443,24.282,35.4,22767.037,19116209,0.006713836,0.240006426,0.021786532,-1,1.564423678,0.436302669,0.221020025,0.321223261,0.260527336,0.416159344,0.001707765,1.5754426,0.066520825,0.018914624,-1,0.021023389,0.041804884,0.026393596,0.006770694,0.024266658,0.119316806,0.002916057,0.037437203,0.035121566,0.001464726,0.020836469,0.002538864,0.023215822,0.107835241,-1,0.174274617,0.003073882
Trinidad and Tobago,trinidad and tobago,0.109977227,266.886,36.2,28763.071,1399491,0.011525076,0.224111338,0.016474561,-1,2.799708608,0.335788154,0.337929004,0.180038457,0.12957118,0.32368947,0.003891042,1.346736778,0.046152337,0.017488308,-1,0.033620588,0.227275488,0.15680501,0.011707778,0.015102412,0.150403182,0.006944541,0.114591091,0.026992285,-1,0.018165612,0.001990982,0.017067762,0.112896046,-1,1.171672415,0.001985999
Australia,australia,0.110193659,3.202,37.9,44648.71,25499881,0.002227402,0.174556815,0.003733565,0.000156863,2.04316875,0.671332152,0.174723913,0.424392569,0.085755381,0.239669315,0.004237341,1.970757432,0.091303916,0.006358618,-1,0.008449941,0.012839295,0.003003148,0.047941479,0.003476853,0.065129716,0.000578992,0.021181279,0.023690789,0.00047059,0.007353905,0.002711162,0.004762167,0.119811892,-1,0.147258217,0.002086601
Iceland,iceland,0.110613919,3.404,37.3,46482.958,341250,0.004641395,0.278700015,0.003481216,-1,2.163364689,0.69194696,0.078269099,0.333931136,0.055830652,0.189739399,0.000443727,1.911636923,0.1139137,0.009201363,-1,0.010438766,0.007199396,0.002494942,0.038649553,0.004476929,0.041910359,0.00014405,0.008152179,0.030574447,0.002930403,0.01683033,0.005103496,0.004877421,0.116927473,-1,0.065014359,0.003396105
Saint Lucia,saint lucia,0.110792047,293.187,34.9,12951.839,183629,0.009086446,0.310042749,0.023341368,-1,2.298844954,0.430667705,0.301292225,0.290019768,0.149902957,0.268712023,0.002367562,1.47835636,0.061068241,0.016660146,-1,0.053447152,0.17882927,0.04263912,0.00966257,0.021933366,0.136248958,0.009450904,0.090796497,0.049785992,-1,0.020336178,0.003693523,0.026586835,0.075643008,-1,0.587833621,0.002637372
United States,united states,0.112420847,35.608,38.3,54225.446,331002647,0.004306739,0.283356223,0.012966739,0.000287007,2.725870951,0.781222151,0.256627253,0.595110045,0.188800484,0.345674275,0.003264629,2.112955912,0.089354331,0.016631985,-1,0.012744297,0.060059943,0.02218323,0.204316463,0.002837163,0.133575306,0.003538703,0.034552745,0.042201868,0.000311176,0.028717912,0.004395376,0.014817292,0.147429788,2.67E-05,0.20712348,0.005508288
Albania,albania,0.113122931,104.871,38,11803.431,2877800,0.006465651,0.132619744,0.001131988,-1,4.220227257,0.464743902,0.125977205,0.255761102,0.107303391,0.170093787,0.001028228,1.509824519,0.081179651,0.005836868,-1,0.013072006,0.023923323,0.0004468,0.007988377,0.004165335,0.086015463,0.001207769,0.063828306,0.005374025,0.000347488,0.002411508,0.003658378,0.001549426,0.056285148,-1,0.046911356,0.0039558
Montenegro,montenegro,0.113289373,46.28,39.1,16409.288,628062,0.002371837,0.107864749,0.001059372,-1,5.950766007,0.564075521,0.201603345,0.136641335,0.078010133,0.249056781,0.002899244,2.230085565,0.082843764,0.013764797,-1,0.009476553,0.035220201,0.002162812,0.026381233,0.007412134,0.090765991,0.00081007,0.026189867,0.019353408,-1,0.001086776,0.001032884,0.001584836,0.122031917,-1,0.258154609,0.007366364
Russia,russia,0.114908329,8.823,39.6,24765.954,145934460,0.009224264,0.243209931,0.001473414,0.000417996,6.853919218,0.578128839,0.077849399,0.261979727,0.348854753,0.648295954,0.001467137,1.997105413,0.066077532,0.04839628,-1,0.056593309,0.148263131,0.132263757,0.064961826,0.072395101,0.167093913,0.001715303,0.030565118,0.195320283,0.000109638,0.002823307,0.06973932,0.006790043,0.300802771,0.000897663,0.107457142,0.04441994
Cyprus,cyprus,0.116536371,127.657,37.3,32415.132,875899,0.002773051,0.202524264,0.006381463,-1,3.088719133,0.551180444,0.291797342,0.541528532,0.14030636,0.328945118,0.00309335,2.349951307,0.092419925,0.013955741,-1,0.02873708,0.023251117,0.002120354,0.019391128,0.004727596,0.172989009,0.001007182,0.020722926,0.010844455,-1,0.026755882,0.007674921,0.007560631,0.080503996,-1,0.457643404,0.003205293
United Kingdom,united kingdom,0.116879987,272.898,40.8,39753.244,67886004,0.004264754,0.544322214,0.001466326,0.000618684,2.60017956,0.941194594,0.099660042,0.696721374,0.136369892,0.436615919,0.000943563,2.649387052,0.10803819,0.009229851,-1,0.004939454,0.005232485,0.003890096,0.044359423,0.005713789,0.03945915,0.00090951,0.024648866,0.034166085,-1,0.018064696,0.004194184,0.002132278,0.085112743,-1,0.080073044,0.002202348
France,france,0.116986173,122.578,42,38605.671,67564251,0.003870516,0.306854434,0.040873509,0.000103605,2.304217063,1.044447899,0.13734235,0.309579692,0.157199848,0.404797798,0.001229443,2.697303638,0.113765177,0.017918973,-1,0.015422623,0.008066779,0.007270262,0.02917722,0.01494419,0.059987019,0.00077585,0.018255808,0.053682975,1.48E-05,0.017839582,0.010210611,0.044619647,0.163806004,-1,0.156571409,0.003890162
Mauritius,mauritius,0.117023139,622.962,37.4,20292.745,1271767,0.007036201,0.241425198,0.010247443,-1,2.602432678,0.357151349,0.841735947,0.391310908,0.187318039,0.286113809,0.006602695,1.096023879,0.047315758,0.021537003,-1,0.036251342,0.025560712,0.07533295,0.013882244,0.01165892,0.129509887,0.005314511,0.072369475,0.061153977,-1,0.021242028,0.000518586,0.010783107,0.092505152,-1,1.359224606,0.002927727
Barbados,barbados,0.117103356,664.463,39.8,16978.068,287371,0.013275101,0.63668707,0.01606517,-1,2.924607215,0.594451075,0.311641258,0.219872256,0.13464953,0.326627635,0.003977663,2.357084744,0.086644442,0.0179331,-1,0.039347777,0.111924411,0.086925368,0.006351914,0.005946954,0.106425805,0.007934618,0.062465732,0.02598449,-1,0.014072638,0.00217825,0.02108133,0.051833623,-1,0.842654965,0.002457541
Sweden,sweden,0.11818819,24.718,41,46949.283,10099270,0.003142517,0.287408793,0.007836074,0.000495085,3.382774201,0.95651755,0.144712539,0.447346194,0.106000137,0.300398049,0.000809387,2.381653327,0.12013601,0.017476006,-1,0.01074749,0.011929813,0.002254529,0.039485874,0.007833613,0.038636535,0.000381454,0.013330033,0.037086086,-1,0.061430688,0.010415416,0.010307408,0.138177908,-1,0.17049658,0.003732355
Norway,norway,0.118358304,14.462,39.7,64800.057,5421242,0.003475794,0.339421483,0.007251191,-1,2.376912892,0.823642073,0.108825063,0.486818334,0.068732755,0.256103306,0.001306876,2.141747223,0.085708755,0.016965505,-1,0.010412845,0.007080116,0.002726999,0.050529344,0.007300187,0.039676314,0.000348954,0.010488121,0.04822074,-1,0.058591758,0.009472761,0.010098053,0.10756015,-1,0.109030698,0.006714819
China,china,0.118562071,147.674,38.7,15308.712,1439323774,0.005152437,0.124634848,0.00560436,1.11E-05,3.041686714,0.340583272,0.122203706,0.701499564,0.106834545,0.197079771,0.006613375,1.811202627,0.051553168,0.007528202,7.29E-05,0.044312934,0.010098895,0.024177791,0.01559424,0.02728935,0.18189257,0.001556641,0.037560236,0.014598362,0.000399493,0.00453801,0.003392333,0.007422076,0.089337995,-1,0.106428104,0.018845836
Thailand,thailand,0.119000281,135.132,40.1,16277.671,69799978,0.017718902,0.518446868,0.006036218,0.001031519,1.46967095,0.452009741,0.314067577,0.283851379,0.24697343,0.390634364,0.004343589,1.469862927,0.052821836,0.011630921,0.000446059,0.072277673,0.060858558,0.277535761,0.010240735,0.089196604,0.274822723,0.003592067,0.032369767,0.033139452,0.001103152,0.062182068,0.000658443,0.006647097,0.125635312,0.00047278,0.212649064,0.002955902
Belarus,belarus,0.11907591,46.858,40.3,17167.967,9449321,0.005401801,0.124299725,0.00142479,-1,7.726929797,0.693161022,0.051360272,0.21852332,0.268086247,0.476031241,0.002252209,1.963944288,0.073955832,0.065945648,-1,0.066681532,0.068600749,0.032161993,0.042735399,0.036479849,0.104773592,0.001289398,0.025910317,0.296588189,-1,0.001466904,0.067923558,0.004795332,0.249432314,-1,0.03783565,0.032055436
Belgium,belgium,0.119843634,375.564,41.8,42658.576,11589616,0.004108989,0.489160469,0.017898945,0.000172568,2.777850448,0.910326106,0.180916607,0.587099003,0.172947835,0.441012196,0.003359576,2.655994815,0.105989189,0.015663901,-1,0.008035768,0.013080356,0.005339742,0.023790762,0.007779888,0.089334539,0.000689895,0.015554873,0.044493277,-1,0.060176964,0.007439537,0.02325813,0.183948545,-1,0.123938187,0.003701929
Latvia,latvia,0.120910646,31.212,43.9,25063.846,1886202,0.00594835,0.201126019,0.000547488,-1,8.198188741,0.92247861,0.137125557,0.229852688,0.230248563,0.528905653,0.001927756,2.979896639,0.104495118,0.063611161,-1,0.075204034,0.070806043,0.067039267,0.028985888,0.031788228,0.112360129,0.001429331,0.017744568,0.155919674,-1,0.002618254,0.062720271,0.003831707,0.232208109,-1,0.169738183,0.01211585
Saudi Arabia,saudi arabia,0.120944104,15.322,31.9,49045.411,34813867,0.004162413,0.100679048,0.001298589,0.00089045,0.906782346,0.096818231,0.109663256,0.07654358,0.070691113,0.089291776,0.004495838,0.340190591,0.013528738,0.020389082,0.000452452,0.038054233,0.008677005,0.01510326,0.013415818,0.019499756,0.345823404,0.003746645,0.068966427,0.003398855,0.000114897,0.006100839,0.003030792,0.001405852,0.031101544,0.074366918,0.061195873,0.007774474
North Macedonia,north macedonia,0.121216475,82.6,39.1,13111.214,2083380,0.003630932,0.070557988,0.000226625,-1,5.048488514,0.406917365,0.148138602,0.256123319,0.112900191,0.2232178,0.001349611,2.101165414,0.06749652,0.00716286,-1,0.012506398,0.018927704,0.000796841,0.005535092,0.01542757,0.077061986,0.001017639,0.06088558,0.010027839,-1,0.003437497,0.004683025,0.000462969,0.091866198,-1,0.357820129,0.004221736
Denmark,denmark,0.121453116,136.52,42.3,46682.515,5792203,0.005939474,0.410364934,0.005868919,-1,2.507615842,0.772858444,0.167148631,0.745735086,0.163526123,0.436723471,0.001164801,3.004772105,0.095146803,0.017073744,-1,0.005918741,0.007993548,0.004648615,0.042163543,0.005005399,0.048801035,0.000376925,0.018194891,0.139387639,-1,0.057188327,0.004998589,0.011343133,0.119950768,-1,0.223438301,0.002111152
Estonia,estonia,0.121605028,31.033,42.7,29481.252,1326539,0.004857443,0.163394895,0.000570534,-1,5.837507981,0.843064546,0.202392617,0.22085555,0.220286475,0.453710596,0.000517223,2.608996042,0.090626736,0.042904295,-1,0.036031719,0.04462585,0.028030363,0.070812332,0.019846902,0.067928014,0.000346521,0.009241485,0.163267948,-1,0.001931177,0.039213932,0.001176921,0.165511078,-1,0.091059743,0.006159183
Cuba,cuba,0.121681736,110.408,43.1,-1,11326616,0.008821592,0.501324844,0.003744933,-1,3.3194813,0.616990723,0.206581383,0.388983788,0.164992616,0.350446859,0.000974032,2.313405875,0.0762017,0.009671971,-1,0.027303353,0.060810925,0.031897479,0.006767192,0.003826634,0.098948971,0.004690366,0.016324752,0.062122076,0.000882876,0.024428885,0.006428361,0.005320403,0.1581083,-1,0.156216208,0.003183708
Ukraine,ukraine,0.12261207,77.39,41.4,7894.393,43733759,0.010718086,0.210708071,0.001423353,0.000914625,9.770955202,0.79831784,0.066318287,0.25989465,0.459207954,0.698242975,0.003473175,2.195873215,0.088346785,0.0443719,-1,0.072035381,0.102994577,0.11606089,0.040154884,0.085813936,0.15277189,0.003325959,0.033245187,0.189099295,-1,0.002363424,0.057164261,0.003926546,0.312782398,0.010929772,0.059991916,0.033682995
Moldova,moldova,0.122827215,123.655,37.6,5189.972,4033963,0.006711782,0.235285227,0.000231988,-1,5.749618923,0.332220449,0.051414478,0.227137929,0.766992161,0.957527127,0.000958306,1.563578298,0.042930389,0.029463756,-1,0.051616537,0.055666252,0.042983042,0.014679458,0.059577121,0.109530677,0.00163521,0.053489782,0.120155267,-1,0.002279311,0.054036291,0.000497583,0.161008244,-1,0.066091955,0.047348699
Lithuania,lithuania,0.122849554,45.135,43.5,29524.265,2722291,0.007178288,0.258766789,0.000545377,-1,8.173677979,0.733747421,0.092809586,0.287159896,0.346045335,0.743507582,0.001478722,2.966269954,0.103196536,0.028577922,-1,0.078690816,0.062977286,0.024610914,0.047023885,0.068163176,0.119337058,0.000994434,0.014872734,0.131911467,-1,0.004430735,0.084917006,0.001611125,0.379356579,-1,0.07994509,0.036413954
Serbia,serbia,0.12315759,80.291,41.2,14048.881,6804596,0.004523795,0.222239204,0.001568505,-1,9.863258598,0.956934548,0.350600535,0.611326521,0.191645764,0.622202112,0.001014118,3.962727545,0.125117244,0.016048315,-1,0.016730457,0.032051028,0.010655172,0.013420065,0.020507595,0.114644411,0.001451225,0.03465036,0.057769043,-1,0.009789782,0.009009866,0.002863194,0.235309194,-1,0.50620992,0.00629153
Canada,canada,0.123281199,4.037,41.4,44017.591,37742157,0.002947132,0.239730655,0.007139852,0.000158973,2.141841019,0.668203728,0.161287311,0.42746444,0.128358244,0.298956681,0.002542925,2.284698779,0.102322239,0.013641054,-1,0.008620443,0.014423839,0.007253242,0.055012913,0.003559608,0.072613126,0.000815972,0.025585933,0.033466847,0.000105982,0.039966794,0.003649299,0.00895953,0.122310445,-1,0.184392853,0.003740006
Finland,finland,0.124386254,18.136,42.8,40585.721,5540718,0.003389081,0.128731601,0.000709523,0.000360964,3.854969699,1.542368877,0.102761664,0.321941488,0.212525525,0.436099798,0.000416962,2.362349067,0.123024507,0.013256363,-1,0.021006032,0.015748297,0.001170005,0.052116693,0.010335238,0.052212854,0.000363422,0.008291494,0.10801804,-1,0.008573705,0.01872492,0.002129659,0.156702254,-1,0.070414304,0.003217319
Netherlands,netherlands,0.124475421,508.544,43.2,48472.545,17134873,0.005551308,0.36057927,0.005060776,-1,2.367320143,0.865807993,0.156552663,0.589956517,0.098078229,0.329665881,0.001024776,3.026199844,0.104554612,0.008941461,-1,0.006296726,0.008522193,0.003241466,0.013623597,0.005419622,0.049966994,0.000641304,0.018696118,0.031087525,-1,0.02060003,0.003418411,0.010313709,0.120572414,-1,0.159271971,0.00133864
Luxembourg,luxembourg,0.125164288,231.447,39.7,94277.965,625976,0.002283372,0.233701612,0.0071732,-1,2.231721344,0.702834454,0.135132657,0.378169451,0.158472577,0.362841067,0.001498126,2.086370723,0.097162862,0.007639587,-1,0.005343111,0.009952594,0.003845866,0.031590668,0.003004296,0.059921594,0.000736594,0.00883577,0.041737479,-1,0.025030656,0.003010004,0.008501655,0.110128663,-1,0.101472213,0.001884972
Slovakia,slovakia,0.126031516,113.128,41.2,30155.152,5459643,0.004606596,0.307703819,0.000988015,-1,4.618538245,0.54804957,0.130619969,0.202832859,0.27966737,0.503276313,0.00098522,2.422735333,0.067432797,0.009670169,-1,0.022353641,0.024108902,0.000715743,0.008626364,0.005494676,0.081013099,0.000728594,0.023225969,0.044959863,-1,0.004032835,0.014902225,0.001339733,0.123549782,-1,0.134043948,0.006116024
Romania,romania,0.126116602,85.129,43,23313.199,19237682,0.003946259,0.322626239,0.002919858,-1,7.529425842,0.75145124,0.158187873,0.387164524,0.525756689,0.739777277,0.002223319,2.662947646,0.113112692,0.022613483,-1,0.037115724,0.021071868,0.008599591,0.018103158,0.05242877,0.113542006,0.001576096,0.02454933,0.032643995,0.000467832,0.005495615,0.016477843,0.00423835,0.122895108,-1,0.117455055,0.017931391
Poland,poland,0.127171725,124.027,41.8,27216.445,37846605,0.0043001,0.29317055,0.002015383,-1,4.457699706,0.759731025,0.090944168,0.312482454,0.205789661,0.4450275,0.001245084,2.887072698,0.092738596,0.016662329,-1,0.023895374,0.017598384,0.003793048,0.008024989,0.015241658,0.104468366,0.000432143,0.018496795,0.11776483,-1,0.007340561,0.009452322,0.002586215,0.179102168,-1,0.175831069,0.006426875
Switzerland,switzerland,0.127611521,214.243,43.1,57410.166,8654618,0.00326519,0.19603176,0.005296629,-1,2.458804074,0.877789176,0.18006202,0.325333481,0.108595469,0.305136287,0.008914594,2.066190559,0.09849634,0.004766733,-1,0.006037276,0.006089489,0.004429976,0.023261443,0.003805493,0.038642121,0.000604395,0.017841354,0.0294885,-1,0.02380298,0.001861165,0.008081297,0.130910804,-1,0.129810235,0.001290089
Hungary,hungary,0.127632199,108.043,43.4,26777.561,9660350,0.005792205,0.105186976,0.000963906,-1,5.922319585,0.731287479,0.160767053,0.564921975,0.334129405,0.608581573,0.000990144,3.326802859,0.091967807,0.013500525,-1,0.013423168,0.016394282,0.004120593,0.006322814,0.007010211,0.081683324,0.001077753,0.01895275,0.052731071,-1,0.025911432,0.020256761,0.002542916,0.209670561,-1,0.213589673,0.005674933
Austria,austria,0.128055905,106.749,44.4,45436.686,9006400,0.00359,0.106709218,0.000167282,0.000222064,3.484870759,0.83059591,0.305727816,0.375632106,0.206534131,0.358320861,0.000626227,2.414357568,0.110391499,0.009732965,-1,0.007337186,0.007626126,0.00421577,0.019806926,0.005691441,0.053441653,0.000411606,0.014210395,0.054340258,-1,0.010894202,0.006960611,0.000964644,0.157892388,-1,0.228640189,0.003526345
Croatia,croatia,0.128378505,73.726,44,22669.797,4105268,0.004220553,0.13691854,0.000149005,-1,5.706294936,0.820757378,0.201851791,0.460470303,0.266795493,0.512714639,0.000403027,3.300342389,0.112663193,0.011168752,-1,0.020205412,0.011628761,0.002192675,0.018159114,0.013355545,0.092355018,0.000521234,0.017544721,0.06185053,-1,0.00743636,0.006088855,0.00073259,0.172344388,-1,0.24346201,0.00473496
Czechia,czechia,0.128462625,137.176,43.3,32605.906,10708982,0.004045384,0.30091385,0.00565229,-1,4.571873405,0.707897912,0.117394165,0.360804603,0.203097176,0.422067382,0.001623538,2.701225009,0.088338854,0.013734284,-1,0.018062128,0.01130875,0.002216797,0.013081832,0.00503884,0.079682868,0.000523144,0.011102521,0.041620651,-1,0.024117381,0.013961645,0.007461205,0.141627748,-1,0.276217571,0.00775166
Bosnia and Herzegovina,bosnia and herzegovina,0.129592825,68.496,42.5,11713.895,3280815,0.003577776,0.109605327,0.000618479,-1,5.519153015,0.606737046,0.184210753,0.399341017,0.175990661,0.34622129,0.002001314,2.728083113,0.098775182,0.012439299,-1,0.010765032,0.025233834,0.000468143,0.008704154,0.041042515,0.081876637,0.000601246,0.026593804,0.034297484,-1,0.002635894,0.001147507,0.001865476,0.094972164,-1,0.698942488,0.006179504
Malta,malta,0.12966925,1454.037,42.4,36513.323,441539,0.004069953,0.392627378,0.001280578,0.002264806,3.552542358,0.749280585,0.214016927,0.38886078,0.098984325,0.288502261,0.00156756,2.35882221,0.121638066,0.005926555,-1,0.01070396,0.011983293,0.003682318,0.018019973,0.002794557,0.039075212,0.00112295,0.026015958,0.009721329,-1,0.006274037,0.00349127,0.002552101,0.060334761,-1,0.265460582,0.00151865
Germany,germany,0.130773016,237.016,46.6,45229.245,83783945,0.003202359,0.301212482,0.003456754,1.19E-05,4.253349493,0.999982395,0.319322395,0.553502822,0.233429448,0.533929502,0.002398175,3.016847679,0.151768218,0.009273119,-1,0.006596477,0.007975347,0.005544561,0.024092838,0.005533102,0.056287443,0.000672698,0.01522898,0.077614357,-1,0.045479787,0.003693413,0.005436669,0.145787358,-1,0.228366067,0.001545061
Taiwan,taiwan,0.130777965,-1,42.2,-1,23816775,0.005497104,0.550652219,0.004321379,-1,1.701664478,0.538015327,0.283139972,0.397797141,0.27331975,0.433008247,0.009999901,2.232258566,0.082353089,0.008859344,-1,0.024555596,0.014141113,0.008312427,0.019648391,0.035816465,0.167266013,0.001121022,0.014612306,0.02043272,0.000209936,0.005414864,0.001784129,0.004762807,0.182874801,-1,0.399794263,0.003809194
