location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Egypt,egypt,0.057926444,97.999,25.3,10550.206,102334403,955.8224,23097.1,812.1318,877,232674.6,9851.87,13115.04,19990.46,44692.44,50100.62,976.2427,48024.39,1876.073,2002.417,-1,1570.333,644.3444,64.81415,111.008,1016.056,26945.54,1316.445,9413.268,201.7167,-1,7349.136,62.14123,856.7131,4755.741,1189,13836.3,257.0227
El Salvador,el salvador,0.0762852,307.811,27.6,7292.458,6486201,94.73121,2525.661,238.5401,-1,9844.845,2478.948,4106.589,1333.283,1479.663,2301.892,15.11587,5637.743,301.887,49.88543,0.49823,258.7919,3450.702,727.9516,61.69918,89.71296,1281.856,43.25643,514.1036,945.4735,-1,318.9223,4.74153,239.9442,612.8314,-1,2150.708,14.59988
Equatorial Guinea,equatorial guinea,0.07351349,45.194,22.4,22604.873,1402985,70.0175,369.1026,49.90638,-1,708.6568,97.53301,133.9978,142.393,148.9782,264.8981,7.138398,519.259,12.14275,19.96466,902.359,49.81458,44.99171,1752.589,10.34802,214.4689,224.9016,71.62022,464.8487,11.5953,-1,202.0467,3.14072,51.36695,66.14299,-1,175.7399,7.245674
Eritrea,eritrea,0.037701529,44.304,19.3,1510.459,3546427,927.1892,3737.066,1117.371,-1,5210.85,387.8991,640.6338,1002.515,1112.136,2104.072,123.9496,3967.532,60.9007,175.5214,9.585016,241.4925,663.4808,1520.524,45.37342,5071.573,1286.501,766.0748,3012.984,99.32832,-1,3723.396,26.37484,1147.091,560.619,-1,905.6397,82.09145
Estonia,estonia,0.121605028,31.033,42.7,29481.252,1326539,6.443588,216.7497,0.756835,-1,7743.682,1118.358,268.4817,292.9735,292.2186,601.8648,0.686116,3460.935,120.2199,56.91422,-1,47.79748,59.19793,37.18337,93.93532,26.32769,90.10916,0.459673,12.25919,216.5813,-1,2.561782,52.01881,1.561232,219.5569,-1,120.7943,8.170397
Eswatini,eswatini,0.048329983,79.492,21.5,7738.975,1160164,80.90442,674.4198,76.73162,-1,1464.933,111.363,212.6762,324.3016,126.7242,253.2119,8.135457,844.0297,14.00986,47.90666,5.295402,54.89041,264.0958,2506.048,24.26307,521.4054,370.5249,34.35525,360.2612,18.57415,-1,544.6824,11.96141,78.67303,207.6842,-1,583.9582,18.50507
Ethiopia,ethiopia,0.036468403,104.957,19.8,1729.927,114963583,12539.59,47564.01,12350.07,67,58719.32,7749.219,9082.517,11261.81,16068.94,27760.38,1646.79,42795.41,1040.075,2013.354,2783.526,2991.271,6973.422,17180.86,275.8453,35598.28,9741.876,7450.546,68898.75,791.708,115,58104.59,845.9148,12681.28,5106.072,1061,11049.23,1094.227
Fiji,fiji,0.076722857,49.562,28.6,8702.975,896444,22.00198,312.0492,15.08758,-1,2553.198,133.2686,277.5894,378.1506,65.66528,169.0393,7.146918,739.063,23.70108,31.15887,-1,64.48037,36.23043,10.39395,4.323549,32.92959,84.43155,11.80623,174.5933,1.938725,-1,86.14027,3.294056,15.72169,85.44123,-1,1578.421,4.442956
Finland,finland,0.124386254,18.136,42.8,40585.721,5540718,18.77794,713.2655,3.931268,2,21359.3,8545.831,569.3734,1783.787,1177.544,2416.306,2.31027,13089.11,681.6441,73.44977,-1,116.3885,87.25687,6.482667,288.7639,57.26464,289.2967,2.013617,45.94083,598.4975,-1,47.50448,103.7495,11.79984,868.243,-1,390.1458,17.82626
France,france,0.116986173,122.578,42,38605.671,67564251,261.5085,20732.39,2761.588,7,155682.7,70567.34,9279.433,20916.52,10621.09,27349.86,83.06638,182241.3,7686.459,1210.682,-1,1042.018,545.0259,491.2098,1971.337,1009.693,4052.978,52.4197,1233.44,3627.05,1,1205.318,689.8723,3014.693,11067.43,-1,10578.63,262.8359
Gabon,gabon,0.052851688,7.859,23.1,16562.413,2225728,106.254,755.6487,75.21397,-1,2229.742,264.2607,296.3843,292.4737,421.4413,600.9924,15.99534,1240.321,35.08555,35.28321,704.8297,70.90239,81.00269,643.7168,25.15419,569.4005,434.5567,81.69043,630.1705,27.22703,-1,351.2065,8.147025,78.71988,158.1457,-1,446.8994,13.90369
Gambia,gambia,0.022548762,207.566,17.5,1561.767,2416664,283.5379,1235.327,214.9,-1,2685.736,267.5596,243.251,402.4202,284.439,563.8558,35.46445,1090.384,46.84377,48.49327,134.5857,68.05124,26.48321,882.6933,24.91692,604.3444,286.1661,312.3264,1215.974,20.60769,-1,616.0796,20.22187,223.6325,119.2371,3,293.0456,20.11485
Georgia,georgia,0.105553248,65.032,38.7,9745.079,3989175,30.93534,766.6589,3.685577,-1,29989.32,2291.312,784.7225,1776.263,1381.134,1938.403,33.70112,7925.639,331.6529,178.2459,-1,135.6509,141.6487,34.39017,76.2642,159.552,724.1092,19.12101,332.108,67.11567,-1,18.9527,47.78376,11.66032,345.2125,-1,1209.54,35.14196
Germany,germany,0.130773016,237.016,46.6,45229.245,83783945,268.3063,25236.77,289.6205,1,356362.4,83782.47,26754.09,46374.65,19557.64,44734.72,200.9286,252763.4,12715.74,776.9385,-1,552.6789,668.206,464.5452,2018.593,463.5851,4715.984,56.36127,1275.944,6502.837,-1,3810.476,309.4487,455.5056,12214.64,-1,19133.41,129.4513
Ghana,ghana,0.046953785,126.719,21.1,4227.63,31072945,4295.832,17760.55,2287.829,-1,36614.79,2765.607,3571.79,4394.134,4003.998,8540.908,609.6619,17558.73,460.9864,638.9422,18757.49,790.4051,902.3159,13877.7,562.3777,9142.173,5380.684,1105.699,16950.73,400.2143,19,7309.445,258.5708,2410.305,1907.767,49,5257.062,299.2496
Greece,greece,0.132734191,83.479,45.3,24574.382,10423056,44.04184,4268.946,2.246009,-1,50895.15,11488.95,3581.581,6068.801,1307.961,3579.385,83.44168,31245.24,1459.713,142.0304,-1,358.9626,130.1489,29.5745,197.4606,149.3672,1221.231,8.177363,153.7608,40.58847,24,35.14017,31.98326,7.659513,517.5165,-1,1131.627,24.79069
Grenada,grenada,0.094759311,317.132,29.4,13593.877,112519,0.85208,83.2647,3.835354,-1,410.645,50.55779,50.52834,30.34385,18.65005,41.3647,0.429806,228.0558,8.703573,2.905119,-1,7.263063,5.869929,6.147605,1.624117,0.733559,11.61899,1.505134,9.793754,3.995431,-1,1.666871,0.479765,4.175371,6.118939,-1,95.41604,0.590836
