lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
eritrea,0.037701529,44.304,19.3,1510.459,3546427,0.261443193,1.05375523,0.315069505,-1,1.469323914,0.109377438,0.180642038,0.282683106,0.313593372,0.593293475,0.034950557,1.118740637,0.01717241,0.049492461,0.002702725,0.068094592,0.187084296,0.428748146,0.012794122,1.430051429,0.362759758,0.216013131,0.849582975,0.028007998,-1,1.049900646,0.007437018,0.323449771,0.158079949,-1,0.255366796,0.02314765
estonia,0.121605028,31.033,42.7,29481.252,1326539,0.004857443,0.163394895,0.000570534,-1,5.837507981,0.843064546,0.202392617,0.22085555,0.220286475,0.453710596,0.000517223,2.608996042,0.090626736,0.042904295,-1,0.036031719,0.04462585,0.028030363,0.070812332,0.019846902,0.067928014,0.000346521,0.009241485,0.163267948,-1,0.001931177,0.039213932,0.001176921,0.165511078,-1,0.091059743,0.006159183
eswatini,0.048329983,79.492,21.5,7738.975,1160164,0.069735331,0.581314194,0.066138598,-1,1.262694757,0.095989015,0.183315635,0.279530825,0.109229557,0.218255264,0.007012334,0.727508956,0.012075758,0.041293007,0.004564356,0.04731263,0.22763661,2.160080816,0.020913483,0.449423875,0.319372865,0.029612408,0.310526098,0.016009935,-1,0.469487417,0.010310103,0.06781199,0.179012795,-1,0.503341079,0.015950391
ethiopia,0.036468403,104.957,19.8,1729.927,114963583,0.109074454,0.413731103,0.107425932,0.000582793,0.510764526,0.067405858,0.079003427,0.097959803,0.139774175,0.241471075,0.014324449,0.372251881,0.009046995,0.017512972,0.024212241,0.026019292,0.060657661,0.149446108,0.002399415,0.309648317,0.084738799,0.064807879,0.599309348,0.006886598,0.001000317,0.505417355,0.007358111,0.110306931,0.044414691,0.00922901,0.096110696,0.009518031
fiji,0.076722857,49.562,28.6,8702.975,896444,0.024543619,0.348096702,0.016830477,-1,2.848139984,0.148663609,0.309656153,0.421834047,0.073250844,0.188566492,0.00797252,0.824438559,0.026438997,0.034758301,-1,0.071929055,0.04041572,0.011594645,0.004823,0.036733572,0.094184969,0.01317007,0.194762082,0.002162684,-1,0.096091078,0.003674581,0.017537838,0.095311285,-1,1.760758062,0.0049562
finland,0.124386254,18.136,42.8,40585.721,5540718,0.003389081,0.128731601,0.000709523,0.000360964,3.854969699,1.542368877,0.102761664,0.321941488,0.212525525,0.436099798,0.000416962,2.362349067,0.123024507,0.013256363,-1,0.021006032,0.015748297,0.001170005,0.052116693,0.010335238,0.052212854,0.000363422,0.008291494,0.10801804,-1,0.008573705,0.01872492,0.002129659,0.156702254,-1,0.070414304,0.003217319
france,0.116986173,122.578,42,38605.671,67564251,0.003870516,0.306854434,0.040873509,0.000103605,2.304217063,1.044447899,0.13734235,0.309579692,0.157199848,0.404797798,0.001229443,2.697303638,0.113765177,0.017918973,-1,0.015422623,0.008066779,0.007270262,0.02917722,0.01494419,0.059987019,0.00077585,0.018255808,0.053682975,1.48E-05,0.017839582,0.010210611,0.044619647,0.163806004,-1,0.156571409,0.003890162
gabon,0.052851688,7.859,23.1,16562.413,2225728,0.047738987,0.33950631,0.033792975,-1,1.001803455,0.118730007,0.133162857,0.131405859,0.189349867,0.270020596,0.007186565,0.557265308,0.015763629,0.015852436,0.31667378,0.03185582,0.036393796,0.289216292,0.011301556,0.255826633,0.1952425,0.036702791,0.283130059,0.012232865,-1,0.157793989,0.003660387,0.035368149,0.071053471,-1,0.200787967,0.006246806
gambia,0.022548762,207.566,17.5,1561.767,2416664,0.117326157,0.511170357,0.088924236,-1,1.111340261,0.110714439,0.100655697,0.166518887,0.117699026,0.233319899,0.014674961,0.451193877,0.01938365,0.020066203,0.055690696,0.028159165,0.010958582,0.365252803,0.010310461,0.250073821,0.118413689,0.129238653,0.50316221,0.008527329,-1,0.254929771,0.00836768,0.092537688,0.049339544,0.001241381,0.121260382,0.008323395
georgia,0.105553248,65.032,38.7,9745.079,3989175,0.007754821,0.192184825,0.000923895,-1,7.517674707,0.574382422,0.19671298,0.445270764,0.346220459,0.48591576,0.008448143,1.986786491,0.083138218,0.044682397,-1,0.03400475,0.035508269,0.008620873,0.019117788,0.03999624,0.181518535,0.004793224,0.083252302,0.016824449,-1,0.004751032,0.011978356,0.00292299,0.086537317,-1,0.30320555,0.00880933
