iso_code,continent,location,LOC,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
HRV,Europe,croatia,Croatia,11/3/2022,1247678,436,233.286,17165,9,6.857,309569.788,108.179,57.882,4258.924,2.233,1.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361,,,,
CUB,North America,cuba,Cuba,11/3/2022,1111290,3,1.714,8530,0,0,99114.375,0.268,0.153,760.779,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198,,,,
CUW,North America,curacao,Curacao,11/3/2022,45489,0,3.143,293,0,0.429,237946.781,0,16.44,1532.643,0,2.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173,,,,
CYP,Europe,cyprus,Cyprus,11/3/2022,599118,,,1194,0,0.429,668653.258,,,1332.579,0,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,
CZE,Europe,czechia,Czechia,11/3/2022,4160242,804,535,41624,11,8.143,396440.439,76.615,50.982,3966.461,1.048,0.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
COD,Africa,democratic republic of congo,Democratic Republic of Congo,11/3/2022,93086,0,8.429,1445,0,0,940.166,0,0.085,14.594,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216,,,,
DNK,Europe,denmark,Denmark,11/3/2022,3336890,632,717.857,7375,12,9,567280.359,107.442,122.038,1253.77,2.04,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
DJI,Africa,djibouti,Djibouti,11/3/2022,15690,0,0,189,0,0,13998.292,0,0,168.622,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851,,,,
DMA,North America,dominica,Dominica,11/3/2022,15760,0,0,74,0,0,216608.483,0,0,1017.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,72758,,,,
DOM,North America,dominican republic,Dominican Republic,11/3/2022,647425,,,4384,0,0,57657.433,,,390.424,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821,,,,
