country name,pyramid distance,median age,GDP per capita,population density,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,,Entity,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people
sao tome and principe,0.034612053,18.7,3052.714,212.841,326.821,26629.179,,mauritius,773.503,168725.676
saudi arabia,0.120944104,31.9,49045.411,15.322,256.192,21264.956,,mexico,2483.514,43876.912
senegal,0.026987077,18.7,2470.58,82.328,114.269,4997.584,,micronesia (country),,8.602
serbia,0.12315759,41.2,14048.881,80.291,2308.359,289081.774,,moldova,2846.652,127951.988
seychelles,0.100590475,36.2,26382.287,208.354,1658.073,413163.482,,monaco,1366.397,278820.85
sierra leone,0.038117461,19.1,1390.3,104.7,15.354,942.719,,mongolia,653.895,276270.98
singapore,0.141129699,42.4,85535.383,7915.731,236.541,206864.273,,montenegro,4308.567,371915.657
slovakia,0.126031516,41.2,30155.152,113.128,3578.461,455131.054,,montserrat,401.526,35334.27
slovenia,0.131495562,44.5,31400.84,102.619,3137.984,472782.569,,morocco,430.073,31163.814
south africa,0.077898942,27.3,12294.876,46.754,1666.75,62101.35,,mozambique,68.401,7004.156
spain,0.132822309,45.5,34272.36,93.105,2193.615,247117.806,,myanmar,354.596,11169.066
sri lanka,0.094058118,34.1,11669.077,341.955,766.933,30814.326,,namibia,1553.717,60998.847
sudan,0.036323708,19.7,4466.507,23.258,109.265,1380.269,,nepal,402.731,32975.489
suriname,0.081539491,29.6,13767.119,3.612,2238.94,133898.729,,netherlands,1291.206,469043.843
sweden,0.11818819,41,46949.283,24.718,1821.428,245269.784,,new caledonia,1082.518,209883.525
switzerland,0.127611521,43.1,57410.166,214.243,1560.898,404875.386,,new zealand,83.101,144741.236
tajikistan,0.046846326,23.3,2896.913,64.281,12.821,1824.275,,nicaragua,34.465,2758.871
tanzania,0.025605247,17.7,2683.304,64.699,13.008,549.851,,niger,12.256,351.043
thailand,0.119000281,40.1,16277.671,135.132,368.659,54436.913,,nigeria,14.863,1208.96
